FECHA,Horas,O3,NO2,CO,SO2,PM-10,PM-2.5
01/01/2022,00:00:00,0.003,0.031,0.424,0.002,150,67
01/01/2022,01:00:00,0.005,0.027,0.424,0.002,168,75
01/01/2022,02:00:00,0.006,0.024,0.424,0.002,188,104
01/01/2022,03:00:00,0.005,0.027,0.424,0.002,216,131
01/01/2022,04:00:00,0.005,0.026,0.424,0.002,216,145
01/01/2022,05:00:00,0.005,0.024,0.424,0.002,40.694,157
01/01/2022,06:00:00,0.005,0.023,0.424,0.002,40.694,157
01/01/2022,07:00:00,0.005,0.021,0.424,0.002,40.694,159
01/01/2022,08:00:00,0.006,0.019,0.424,0.002,246,157
01/01/2022,09:00:00,0.014,0.014,0.424,0.002,205,134
01/01/2022,10:00:00,0.032,0.011,0.424,0.002,166,114
01/01/2022,11:00:00,0.049,0.007,0.424,0.002,113,81
01/01/2022,12:00:00,0.064,0.004,0.424,0.002,83,60
01/01/2022,13:00:00,0.073,0.003,0.424,0.002,55,43
01/01/2022,14:00:00,0.073,0.005,0.424,0.002,41,43
01/01/2022,15:00:00,0.055,0.003,0.424,0.002,43,27
01/01/2022,16:00:00,0.058,0.003,0.424,0.002,43,19
01/01/2022,17:00:00,0.057,0.002,0.424,0.002,40,19
01/01/2022,18:00:00,0.045,0.006,0.424,0.002,42,23
01/01/2022,19:00:00,0.026,0.019,0.424,0.002,53,23
01/01/2022,20:00:00,0.028,0.019,0.424,0.002,50,15
01/01/2022,21:00:00,0.005,0.034,0.424,0.002,75,20
01/01/2022,22:00:00,0.003,0.032,0.424,0.002,90,37
01/01/2022,23:00:00,0.007,0.026,0.424,0.002,92,55
02/01/2022,00:00:00,0.004,0.025,0.424,0.002,118,59
02/01/2022,01:00:00,0.004,0.024,0.424,0.002,126,55
02/01/2022,02:00:00,0.004,0.023,0.424,0.002,122,57
02/01/2022,03:00:00,0.007,0.019,0.424,0.002,107,57
02/01/2022,04:00:00,0.009,0.015,0.424,0.002,99,50
02/01/2022,05:00:00,0.008,0.015,0.424,0.002,80,41
02/01/2022,06:00:00,0.008,0.013,0.424,0.002,75,35
02/01/2022,07:00:00,0.006,0.015,0.424,0.002,65,33
02/01/2022,08:00:00,0.007,0.014,0.424,0.002,63,31
02/01/2022,09:00:00,0.014,0.011,0.424,0.002,52,30
02/01/2022,10:00:00,0.023,0.01,0.424,0.002,43,24
02/01/2022,11:00:00,0.036,0.007,0.424,0.002,35,19
02/01/2022,12:00:00,0.042,0.003,0.424,0.002,46,16
02/01/2022,13:00:00,0.051,0.004,0.424,0.001,62,15
02/01/2022,14:00:00,0.066,0.007,0.424,0.001,58,16
02/01/2022,15:00:00,0.056,0.005,0.424,0.001,49,19
02/01/2022,16:00:00,0.038,0.007,0.424,0.001,84,21
