archivo,fecha,direccion_grados,velocidad_kmxh
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/01-01-2023.png,01/01/2023,265,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/02-01-2023.png,02/01/2023,215,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/03-01-2023.png,03/01/2023,160,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/04-01-2023.png,04/01/2023,220,0
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/05-01-2023.png,05/01/2023,90,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/06-01-2023.png,06/01/2023,95,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/07-01-2023.png,07/01/2023,100,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/08-01-2023.png,08/01/2023,110,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/09-01-2023.png,09/01/2023,85,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/10-01-2023.png,10/01/2023,60,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/11-01-2023.png,11/01/2023,140,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/12-01-2023.png,12/01/2023,345,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/13-01-2023.png,13/01/2023,65,15
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/14-01-2023.png,14/01/2023,85,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/15-01-2023.png,15/01/2023,220,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/16-01-2023.png,16/01/2023,220,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/17-01-2023.png,17/01/2023,240,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/18-01-2023.png,18/01/2023,255,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/19-01-2023.png,19/01/2023,45,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/20-01-2023.png,20/01/2023,150,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/21-01-2023.png,21/01/2023,210,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/22-01-2023.png,22/01/2023,230,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/23-01-2023.png,23/01/2023,90,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/24-01-2023.png,24/01/2023,225,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/25-01-2025.png,25/01/2023,210,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/26-01-2023.png,26/01/2023,95,16
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/27-01-2023.png,27/01/2023,90,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/28-01-2023.png,28/01/2023,85,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/29-01-2023.png,29/01/2023,200,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/30-01-2023.png,30/01/2023,210,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/1. Enero/31-01-2023.png,31/01/2023,145,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/01-10-2023.png,01/10/2023,95,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/02-10-2023.png,02/10/2023,90,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/03-10-2023.png,03/10/2023,95,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/04-10-2023.png,04/10/2023,185,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/05-10-2023.png,05/10/2023,220,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/06-10-2023.png,06/10/2023,60,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/07-10-2023.png,07/10/2023,40,14
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/08-10-2023.png,08/10/2023,85,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/09-10-2023.png,09/10/2023,150,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/10-10-2023.png,10/10/2023,220,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/11-10-2023.png,11/10/2023,210,12
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/12-10-2023.png,12/10/2023,245,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/13-10-2023.png,13/10/2023,255,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/14-10-2023.png,14/10/2023,70,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/15-10-2023.png,15/10/2023,60,15
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/16-10-2023.png,16/10/2023,55,21
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/17-10-2023.png,17/10/2023,80,12
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/18-10-2023.png,18/10/2023,100,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/19-10-2023.png,19/10/2023,195,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/20-10-2023.png,20/10/2023,125,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/21-10-2023.png,21/10/2023,210,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/22-10-2023.png,22/10/2023,230,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/23-10-2023.png,23/10/2023,240,4
