FECHA,Horas,O3,NO2,CO,SO2,PM-10,PM-2.5
01/01/2021,00:00:00,0.023,0.008,0.2,0,38,10
01/01/2021,01:00:00,0.021,0.009,0.23,0,37,11
01/01/2021,02:00:00,0.012,0.013,0.28,0,50,20
01/01/2021,03:00:00,0.003,0.018,0.34,0,70,34
01/01/2021,04:00:00,0.002,0.02,0.44,0,99,53
01/01/2021,05:00:00,0.002,0.019,0.52,0.001,165,103
01/01/2021,06:00:00,0.002,0.018,0.6,0.001,185,117
01/01/2021,07:00:00,0.002,0.016,0.67,0.001,197,125
01/01/2021,08:00:00,0.004,0.014,0.75,0.001,196,124
01/01/2021,09:00:00,0.015,0.012,0.81,0.001,195,123
01/01/2021,10:00:00,0.033,0.009,0.83,0.001,189,122
01/01/2021,11:00:00,0.043,0.006,0.78,0.001,158,100
01/01/2021,12:00:00,0.051,0.003,0.67,0.001,113,67
01/01/2021,13:00:00,0.051,0.003,0.58,0.001,83,44
01/01/2021,14:00:00,0.046,0.002,0.48,0.001,64,31
01/01/2021,15:00:00,0.043,0.002,0.37,0.001,50,20
01/01/2021,16:00:00,0.043,0.002,0.27,0.001,36,13
01/01/2021,17:00:00,0.044,0.002,0.17,0.001,30,11
01/01/2021,18:00:00,0.043,0.003,0.1,0.001,31,9
01/01/2021,19:00:00,0.035,0.007,0.09,0.001,28,8
01/01/2021,20:00:00,0.023,0.014,0.11,0.001,34,9
01/01/2021,21:00:00,0.025,0.013,0.13,0.001,40,14
01/01/2021,22:00:00,0.021,0.013,0.17,0.001,40,14
01/01/2021,23:00:00,0.001,0.025,0.27,0.001,40,14
02/01/2021,00:00:00,0.03,0.025,0.38,0.001,65,21
02/01/2021,01:00:00,0.03,0.024,0.49,0.001,80,33
02/01/2021,02:00:00,0.03,0.022,0.58,0.001,97,39
02/01/2021,03:00:00,0.008,0.014,0.61,0.001,102,46
02/01/2021,04:00:00,0.009,0.012,0.62,0.001,85,40
02/01/2021,05:00:00,0.005,0.013,0.65,0.001,86,43
02/01/2021,06:00:00,0.009,0.011,0.64,0.001,87,42
02/01/2021,07:00:00,0.005,0.014,0.58,0.001,74,35
02/01/2021,08:00:00,0.004,0.016,0.53,0.001,64,29
