FECHA,Horas,O3,NO2,CO,SO2,PM-10,PM-2.5
01/01/2021,00:00:00,0.016,0.017,0.7,0.376,47,24
01/01/2021,01:00:00,0.014,0.015,0.72,0.398,62,30
01/01/2021,02:00:00,0.008,0.018,0.76,0.421,67,41
01/01/2021,03:00:00,0.004,0.017,0.78,0.437,70,47
01/01/2021,04:00:00,0.005,0.016,0.76,0.445,73,46
01/01/2021,05:00:00,0.004,0.015,0.73,0.456,64,43
01/01/2021,06:00:00,0.005,0.013,0.69,0.46,64,39
01/01/2021,07:00:00,0.004,0.013,0.66,0.461,45,29
01/01/2021,08:00:00,0.003,0.016,0.65,0.466,45,21
01/01/2021,09:00:00,0.015,0.012,0.64,0.473,45,11
01/01/2021,10:00:00,0.027,0.011,0.61,0.479,40,8
01/01/2021,11:00:00,0.04,0.006,0.56,0.472,42.84,14
01/01/2021,12:00:00,0.048,0.005,0.52,0.472,24,13
01/01/2021,13:00:00,0.048,0.005,0.49,0.477,30,13
01/01/2021,14:00:00,0.044,0.005,0.46,0.476,27,14
01/01/2021,15:00:00,0.042,0.004,0.42,0.467,30,14
01/01/2021,16:00:00,0.04,0.004,0.39,0.456,22,11
01/01/2021,17:00:00,0.04,0.005,0.35,0.443,32,9
01/01/2021,18:00:00,0.038,0.006,0.35,0.433,23,11
01/01/2021,19:00:00,0.025,0.015,0.35,0.429,46,15
01/01/2021,20:00:00,0.012,0.026,0.825,0.437,62,14
01/01/2021,21:00:00,0.003,0.03,0.825,0.434,65,18
01/01/2021,22:00:00,0.001,0.028,0.825,0.444,92,26
01/01/2021,23:00:00,0.022,0.027,0.825,0.444,97,30
02/01/2021,00:00:00,0.001,0.024,0.825,0.432,79,26
02/01/2021,01:00:00,0.002,0.022,0.825,0.409,60,19
02/01/2021,02:00:00,0.007,0.017,0.825,0.387,56,19
02/01/2021,03:00:00,0.008,0.015,0.825,0.371,41,14
02/01/2021,04:00:00,0.005,0.016,0.825,0.368,31,12
02/01/2021,05:00:00,0.001,0.021,0.48,0.358,32,10
02/01/2021,06:00:00,0.003,0.017,0.47,0.365,27,10
02/01/2021,07:00:00,0.022,0.019,0.49,0.372,38,12
02/01/2021,08:00:00,0.022,0.019,0.53,0.408,48,14
02/01/2021,09:00:00,0.002,0.023,0.52,0.466,40,8
02/01/2021,10:00:00,0.013,0.038,0.54,0.496,51,15
02/01/2021,11:00:00,0.028,0.024,0.825,0.517,55,19
02/01/2021,12:00:00,0.04,0.013,0.825,0.511,35,15
02/01/2021,13:00:00,0.046,0.007,0.825,0.5,26,12
02/01/2021,14:00:00,0.042,0.007,0.825,0.5,25,11
02/01/2021,15:00:00,0.036,0.006,0.825,0.497,26,13
02/01/2021,16:00:00,0.038,0.006,0.825,0.494,25,8
02/01/2021,17:00:00,0.037,0.006,0.825,0.491,23,8
02/01/2021,18:00:00,0.031,0.008,0.825,0.491,20,10
02/01/2021,19:00:00,0.009,0.026,0.42,0.507,44,13
02/01/2021,20:00:00,0.001,0.031,0.42,0.538,67,16
02/01/2021,21:00:00,0.004,0.028,0.51,0.543,88,28
02/01/2021,22:00:00,0.009,0.02,0.58,0.517,82,35
02/01/2021,23:00:00,0.013,0.013,0.825,0.495,64,29
03/01/2021,00:00:00,0.013,0.012,0.825,0.483,43,21
03/01/2021,01:00:00,0.011,0.013,0.825,0.48,35,16
03/01/2021,02:00:00,0.014,0.009,0.825,0.476,27,16
03/01/2021,03:00:00,0.013,0.007,0.825,0.473,18,11
03/01/2021,04:00:00,0.002,0.014,0.825,0.464,14,7
03/01/2021,05:00:00,0.022,0.015,0.825,0.461,20,9
03/01/2021,06:00:00,0.022,0.017,0.825,0.45,25,11
03/01/2021,07:00:00,0.022,0.015,0.825,0.451,26,12
03/01/2021,08:00:00,0.022,0.012,0.825,0.465,23,11
03/01/2021,09:00:00,0.002,0.019,0.825,0.449,23,11
03/01/2021,10:00:00,0.011,0.015,0.825,0.427,22,8
03/01/2021,11:00:00,0.023,0.009,0.825,0.411,21,10
03/01/2021,12:00:00,0.032,0.004,0.825,0.403,21,7
03/01/2021,13:00:00,0.033,0.004,0.825,0.396,42.84,5
03/01/2021,14:00:00,0.033,0.004,0.825,0.391,42.84,4
03/01/2021,15:00:00,0.035,0.004,0.825,0.401,42.84,5
03/01/2021,16:00:00,0.035,0.005,0.825,0.406,34,6
03/01/2021,17:00:00,0.037,0.005,0.825,0.412,26,8
03/01/2021,18:00:00,0.035,0.009,0.825,0.418,33,13
03/01/2021,19:00:00,0.017,0.021,0.825,0.409,58,15
03/01/2021,20:00:00,0.009,0.027,0.825,0.371,66,16
03/01/2021,21:00:00,0.022,0.031,0.825,0.373,65,19
03/01/2021,22:00:00,0.022,0.029,0.84,0.388,96,29
03/01/2021,23:00:00,0.022,0.028,0.87,0.407,93,30
04/01/2021,00:00:00,0.022,0.026,0.86,0.416,76,23
04/01/2021,01:00:00,0.022,0.024,0.9,0.42,57,18
04/01/2021,02:00:00,0.002,0.021,0.9,0.423,44,17
04/01/2021,03:00:00,0.022,0.022,0.89,0.429,31,15
04/01/2021,04:00:00,0.022,0.019,0.84,0.431,33,13
04/01/2021,05:00:00,0.002,0.016,0.72,0.43,33,11
04/01/2021,06:00:00,0.022,0.02,0.62,0.429,26,10
04/01/2021,07:00:00,0.022,0.018,0.61,0.463,34,13
04/01/2021,08:00:00,0.022,0.016,0.7,0.502,53,20
04/01/2021,09:00:00,0.022,0.023,0.84,0.542,62,18
